date,player,team,pos,salary,proj,ceiling,own,conf,dk_fppg
2026-06-28,Kyle Bradish,BAL,P,9700,16.8,16.8,7.7,P-prop,
2026-06-28,Dylan Crews,WSH,OF,3600,3.9,5.5,0.4,H-prop,
2026-06-28,Jacob Young,WSH,OF,3100,2.6,3.9,0.2,H-prop,
2026-06-28,Taylor Ward,BAL,OF,4500,5.6,6.2,1.1,H-prop,
2026-06-28,James Wood,WSH,OF,5900,6.9,9.1,0.5,H-prop,
2026-06-28,Adley Rutschman,BAL,C,3900,5.3,6.8,1.6,H-prop,
2026-06-28,Daylen Lile,WSH,OF,4100,4.8,5.8,0.5,H-prop,
2026-06-28,Jackson Holliday,BAL,2B,3300,5.0,6.7,10.0,H-prop,
2026-06-28,Dylan Beavers,BAL,OF,2600,5.0,5.7,10.7,H-prop,
2026-06-28,Colton Cowser,BAL,OF,2800,4.7,6.4,6.7,H-prop,
2026-06-28,Coby Mayo,BAL,3B,3300,5.1,7.0,7.8,H-prop,
2026-06-28,Gunnar Henderson,BAL,SS,5000,5.9,7.7,2.7,H-prop,
2026-06-28,Jorbit Vivas,WSH,2B/3B,2400,3.8,4.5,7.4,H-prop,
2026-06-28,Curtis Mead,WSH,3B,5000,5.1,7.6,0.5,H-prop,
2026-06-28,Pete Alonso,BAL,1B,5500,6.4,8.5,1.7,H-prop,
2026-06-28,CJ Abrams,WSH,SS,5500,4.4,6.5,0.4,H-prop,
2026-06-28,Samuel Basallo,BAL,C,3500,5.5,7.5,5.7,H-prop,
2026-06-28,Luis Garcia Jr.,WSH,1B,3900,4.9,7.2,1.4,H-prop,
2026-06-28,Keibert Ruiz,WSH,C,3800,6.1,7.5,1.8,H-prop,
2026-06-28,TJ Friedl,CIN,OF,2700,2.2,2.7,0.2,H-prop,
2026-06-28,Sal Stewart,CIN,1B/3B,4700,5.2,7.0,1.1,H-prop,
2026-06-28,Eugenio Suarez,CIN,3B,3800,5.0,6.6,1.6,H-prop,
2026-06-28,Noelvi Marte,CIN,OF,2600,5.1,6.9,8.9,H-prop,
2026-06-28,Mitch Keller,PIT,P,6900,14.9,14.9,12.8,P-prop,
2026-06-28,JJ Bleday,CIN,OF,4800,6.5,9.0,1.1,H-prop,
2026-06-28,Tyler Stephenson,CIN,C,2900,4.4,5.6,3.9,H-prop,
2026-06-28,Edwin Arroyo,CIN,2B/SS,2300,2.5,2.5,1.1,H-prop,
2026-06-28,Elly De La Cruz,CIN,SS,5100,8.0,9.9,5.7,H-prop,
2026-06-28,Spencer Steer,CIN,1B/OF,4100,6.1,7.9,3.1,H-prop,
2026-06-28,Brady Singer,CIN,P,6500,14.2,14.2,13.3,P-prop,
2026-06-28,Ernie Clement,TOR,2B/SS,2800,4.0,4.9,3.7,H-prop,
2026-06-28,Kazuma Okamoto,TOR,3B,3400,5.7,8.2,4.7,H-prop,
2026-06-28,Alejandro Kirk,TOR,C,3400,4.4,5.8,1.3,H-prop,
2026-06-28,Brandon Nimmo,TEX,OF,3500,5.7,6.7,3.6,H-prop,
2026-06-28,Joc Pederson,TEX,1B,3100,5.1,7.1,7.5,H-prop,
2026-06-28,Alejandro Osuna,TEX,OF,2300,3.7,3.7,3.5,H-prop,
2026-06-28,Vladimir Guerrero Jr.,TOR,1B,4600,5.1,5.6,0.7,H-prop,
2026-06-28,Daulton Varsho,TOR,OF,3000,5.2,6.3,3.4,H-prop,
2026-06-28,Jake Burger,TEX,1B,3500,5.0,6.9,4.6,H-prop,
2026-06-28,Corey Seager,TEX,SS,4500,6.0,8.0,2.5,H-prop,
2026-06-28,Jarred Kelenic,TEX,OF,2100,3.3,3.9,3.2,H-prop,
2026-06-28,Kyle Higashioka,TEX,C,2900,4.1,5.5,2.4,H-prop,
2026-06-28,Shane Bieber,TOR,P,8500,15.3,15.3,6.8,P-prop,
2026-06-28,Yohendrick Pinango,TOR,OF,2500,5.5,7.0,7.9,H-prop,
2026-06-28,Kumar Rocker,TEX,P,6500,12.1,12.1,7.6,P-prop,
2026-06-28,Andres Gimenez,TOR,SS,2600,4.9,6.0,14.1,H-prop,
2026-06-28,Nicky Lopez,TEX,2B/SS,2500,4.7,5.2,12.9,H-prop,
2026-06-28,Nathan Lukes,TOR,OF,2500,4.0,4.8,2.6,H-prop,
2026-06-28,Josh Jung,TEX,3B,4300,4.4,5.4,0.5,H-prop,
2026-06-28,Gabriel Moreno,ARI,C,4000,6.5,7.7,1.3,H-prop,
2026-06-28,Pavin Smith,ARI,1B,2300,2.3,3.0,0.4,H-prop,
2026-06-28,Tommy Troy,ARI,OF,2500,5.4,6.7,6.9,H-prop,
2026-06-28,Nolan Arenado,ARI,3B,3200,5.0,6.2,3.5,H-prop,
2026-06-28,Ketel Marte,ARI,2B,5100,5.2,7.0,0.5,H-prop,
2026-06-28,Merrill Kelly,ARI,P,6200,11.7,11.7,8.0,P-prop,
2026-06-28,Drew Rasmussen,TB,P,10000,19.5,19.5,11.7,P-prop,
2026-06-28,Lourdes Gurriel Jr.,ARI,OF,2800,3.8,4.1,1.4,H-prop,
2026-06-28,Geraldo Perdomo,ARI,SS,4000,4.2,4.8,0.8,H-prop,
2026-06-28,Corbin Carroll,ARI,OF,5600,5.6,7.3,0.2,H-prop,
2026-06-28,Randy Arozarena,SEA,OF,5000,7.1,8.2,2.1,H-prop,
2026-06-28,Petey Halpin,CLE,OF,2500,6.3,7.7,12.6,H-prop,
2026-06-28,Steven Kwan,CLE,OF,3000,3.1,3.2,0.6,H-prop,
2026-06-28,Emerson Hancock,SEA,P,7800,14.8,14.8,8.1,P-prop,
2026-06-28,Daniel Schneemann,CLE,3B/OF,2400,4.6,5.7,7.5,H-prop,
2026-06-28,J.P. Crawford,SEA,3B/SS,3400,5.1,6.7,8.5,H-prop,
2026-06-28,Patrick Bailey,CLE,C,2100,3.1,3.6,2.1,H-prop,
2026-06-28,Kahlil Watson,CLE,OF,2400,6.4,7.9,15.3,H-prop,
2026-06-28,Dominic Canzone,SEA,OF,3800,7.2,9.6,5.7,H-prop,
2026-06-28,Cal Raleigh,SEA,C,4500,4.8,6.3,0.8,H-prop,
2026-06-28,Brayan Rocchio,CLE,SS,3200,5.1,5.8,7.8,H-prop,
2026-06-28,Cole Young,SEA,2B,3000,4.6,5.5,12.7,H-prop,
2026-06-28,Julio Rodriguez,SEA,OF,4900,4.9,6.6,0.6,H-prop,
2026-06-28,Gavin Williams,CLE,P,9400,20.0,20.0,15.9,P-prop,
2026-06-28,Luke Raley,SEA,OF,3900,6.9,9.6,4.5,H-prop,
2026-06-28,Kyle Manzardo,CLE,1B,2700,5.2,6.7,9.8,H-prop,
2026-06-28,Travis Bazzana,CLE,2B,4600,4.9,6.3,0.6,H-prop,
2026-06-28,Colt Emerson,SEA,SS,3800,6.1,8.6,9.8,H-prop,
2026-06-28,Josh Naylor,SEA,1B,4500,4.6,5.6,1.3,H-prop,
2026-06-28,James Outman,DET,OF,2200,4.7,5.6,8.5,H-prop,
2026-06-28,Kevin McGonigle,DET,3B/SS,4800,4.8,5.5,0.4,H-prop,
2026-06-28,Riley Greene,DET,OF,4200,4.8,5.9,0.4,H-prop,
2026-06-28,Yainer Diaz,HOU,C,3200,5.0,5.9,7.0,H-prop,
2026-06-28,Jose Altuve,HOU,2B,3800,6.1,7.4,7.0,H-prop,
2026-06-28,Isaac Paredes,HOU,1B/3B,3700,5.6,6.9,5.3,H-prop,
2026-06-28,Matt Vierling,DET,OF,2900,3.5,4.5,1.1,H-prop,
2026-06-28,Hunter Brown,HOU,P,10500,20.3,20.3,11.4,P-prop,
2026-06-28,Christian Walker,HOU,1B,4000,5.6,7.8,4.0,H-prop,
2026-06-28,Yordan Alvarez,HOU,OF,6000,7.7,10.7,1.5,H-prop,
2026-06-28,Dillon Dingler,DET,C,5300,5.1,7.7,0.3,H-prop,
2026-06-28,Cam Smith,HOU,OF,2500,5.5,6.7,21.4,H-prop,
2026-06-28,Kerry Carpenter,DET,OF,3600,5.6,8.3,1.3,H-prop,
2026-06-28,Hao-Yu Lee,DET,2B,2600,4.5,5.5,8.7,H-prop,
2026-06-28,Joey Loperfido,HOU,OF,2600,4.6,5.0,10.0,H-prop,
2026-06-28,Jeremy Pena,HOU,SS,4700,4.4,5.7,1.5,H-prop,
2026-06-28,Zach McKinstry,DET,2B/SS,2300,3.1,3.5,3.6,H-prop,
2026-06-28,Colt Keith,DET,3B,2700,4.7,5.6,6.5,H-prop,
2026-06-28,Jack Flaherty,DET,P,7300,15.2,15.2,11.3,P-prop,
2026-06-28,Taylor Trammell,HOU,OF,2700,7.1,8.0,39.9,H-prop,
2026-06-28,Luis Torrens,NYM,C,2200,2.8,3.1,0.7,H-prop,
2026-06-28,Bo Bichette,NYM,3B/SS,4400,5.4,6.6,0.9,H-prop,
2026-06-28,Brandon Marsh,PHI,OF,4600,4.5,6.2,0.3,H-prop,
2026-06-28,Jesus Luzardo,PHI,P,9600,20.9,20.9,17.2,P-prop,
2026-06-28,Tyrone Taylor,NYM,OF,2600,4.0,5.2,2.7,H-prop,
2026-06-28,Brett Baty,NYM,3B,2500,3.0,3.5,0.8,H-prop,
2026-06-28,Carson Benge,NYM,OF,3900,4.8,6.0,0.6,H-prop,
2026-06-28,Francisco Alvarez,NYM,C,2800,5.6,7.4,7.3,H-prop,
2026-06-28,Bryson Stott,PHI,2B,3900,5.5,6.5,2.5,H-prop,
2026-06-28,Justin Crawford,PHI,OF,3200,3.5,3.8,1.0,H-prop,
2026-06-28,Eric Wagaman,NYM,1B/OF,2400,5.0,8.3,15.6,H-prop,
2026-06-28,Kyle Schwarber,PHI,1B,6300,7.6,11.2,1.4,H-prop,
2026-06-28,Alec Bohm,PHI,3B,3600,5.6,6.8,2.6,H-prop,
2026-06-28,J.T. Realmuto,PHI,C,3900,3.7,4.7,0.3,H-prop,
2026-06-28,Juan Soto,NYM,OF,5700,5.4,8.1,0.2,H-prop,
2026-06-28,Bryce Harper,PHI,1B,5800,7.4,9.8,1.6,H-prop,
2026-06-28,Mark Vientos,NYM,1B,2800,4.8,6.6,7.9,H-prop,
2026-06-28,Trea Turner,PHI,SS,5600,6.0,6.8,1.4,H-prop,
2026-06-28,Byron Buxton,MIN,OF,6100,7.8,11.1,1.0,H-prop,
2026-06-28,Royce Lewis,MIN,1B,3600,4.8,6.3,2.4,H-prop,
2026-06-28,Braxton Fulford,COL,C,3700,8.6,9.5,7.0,H-prop,
2026-06-28,Trevor Larnach,MIN,OF,3800,5.9,6.8,2.0,H-prop,
2026-06-28,Luke Keaschall,MIN,2B,3200,4.5,4.8,6.7,H-prop,
2026-06-28,Austin Martin,MIN,OF,3200,4.6,4.9,3.3,H-prop,
2026-06-28,Ryan Feltner,COL,P,6300,11.7,11.7,7.6,P-prop,
2026-06-28,Brooks Lee,MIN,3B,3500,3.6,5.5,1.6,H-prop,
2026-06-28,Tyler Freeman,COL,OF,3800,4.0,4.6,0.4,H-prop,
2026-06-28,Alex Jackson,MIN,C,2200,5.5,5.5,25.1,H-prop,
2026-06-28,Kyle Karros,COL,3B,2500,5.3,6.1,15.9,H-prop,
2026-06-28,Cole Carrigg,COL,OF,3200,5.2,7.2,4.0,H-prop,
2026-06-28,Kody Clemens,MIN,OF,4200,4.5,6.4,0.5,H-prop,
2026-06-28,Ezequiel Tovar,COL,SS,3900,4.3,5.2,1.4,H-prop,
2026-06-28,Ryan Kreidler,MIN,OF/SS,2700,5.3,7.0,30.6,H-prop,
2026-06-28,Hunter Goodman,COL,C,5200,7.1,10.4,1.1,H-prop,
2026-06-28,Connor Prielipp,MIN,P,7100,17.2,17.2,19.1,P-prop,
2026-06-28,Willi Castro,COL,2B/3B,4200,3.9,4.8,0.6,H-prop,
2026-06-28,TJ Rumfield,COL,1B,4100,4.9,6.5,1.3,H-prop,
2026-06-28,Nico Hoerner,CHC,2B,3700,3.5,4.0,0.7,H-prop,
2026-06-28,Jackson Chourio,MIL,OF,5400,6.0,8.2,0.7,H-prop,
2026-06-28,Dansby Swanson,CHC,SS,3500,4.2,5.7,4.7,H-prop,
2026-06-28,Christian Yelich,MIL,OF,5100,5.7,6.7,0.7,H-prop,
2026-06-28,Michael Busch,CHC,1B,4300,5.0,6.1,1.3,H-prop,
2026-06-28,Jake Bauers,MIL,1B/OF,4700,6.4,8.5,2.9,H-prop,
2026-06-28,Brandon Woodruff,MIL,P,8800,18.8,18.8,12.3,P-prop,
2026-06-28,Sal Frelick,MIL,OF,3000,3.7,4.2,2.2,H-prop,
2026-06-28,Cooper Pratt,MIL,SS,3100,4.3,4.3,10.4,H-prop,
2026-06-28,William Contreras,MIL,C,4600,5.7,6.9,1.1,H-prop,
2026-06-28,Ian Happ,CHC,OF,4300,6.9,9.0,1.9,H-prop,
2026-06-28,Matt Shaw,CHC,OF,2700,4.8,6.0,6.0,H-prop,
2026-06-28,Alex Bregman,CHC,3B,3900,4.2,4.9,0.7,H-prop,
2026-06-28,Pete Crow-Armstrong,CHC,OF,6400,5.3,7.3,0.2,H-prop,
2026-06-28,Garrett Mitchell,MIL,OF,3100,5.7,6.7,9.1,H-prop,
2026-06-28,Carson Kelly,CHC,C,2800,4.8,5.6,5.8,H-prop,
2026-06-28,Brice Turang,MIL,2B,5400,5.5,6.9,1.1,H-prop,
2026-06-28,David Hamilton,MIL,3B,2700,5.3,5.9,17.8,H-prop,
2026-06-28,Seiya Suzuki,CHC,OF,4400,5.8,7.6,1.0,H-prop,
2026-06-28,Jacob Gonzalez,CWS,1B,2200,3.7,4.9,14.4,H-prop,
2026-06-28,Sam Antonacci,CWS,OF,4000,4.3,5.0,0.7,H-prop,
2026-06-28,Jac Caglianone,KC,1B,4800,6.2,8.2,1.4,H-prop,
2026-06-28,Lane Thomas,KC,OF,3400,4.3,5.3,1.4,H-prop,
2026-06-28,Kyle Teel,CWS,C,3300,6.1,8.8,10.8,H-prop,
2026-06-28,Carter Jensen,KC,C,4400,5.4,7.0,0.6,H-prop,
2026-06-28,Starling Marte,KC,OF,3100,2.8,3.2,0.2,H-prop,
2026-06-28,Miguel Vargas,CWS,1B/3B,4900,6.9,9.1,3.5,H-prop,
2026-06-28,Tyler Tolbert,KC,OF/SS,2600,1.8,1.8,0.2,H-prop,
2026-06-28,Tristan Peters,CWS,OF,2500,5.8,6.6,22.1,H-prop,
2026-06-28,Colson Montgomery,CWS,3B/SS,4600,6.3,9.0,2.5,H-prop,
2026-06-28,Bobby Witt Jr.,KC,SS,6200,6.4,7.6,1.0,H-prop,
2026-06-28,Chase Meidroth,CWS,2B,3600,5.0,5.8,3.6,H-prop,
2026-06-28,Salvador Perez,KC,C,3600,4.2,5.5,0.5,H-prop,
2026-06-28,Anthony Kay,CWS,P,7200,14.9,14.9,11.0,P-prop,
2026-06-28,Isaac Collins,KC,OF,2500,3.5,4.0,2.0,H-prop,
2026-06-28,Andrew Benintendi,CWS,OF,3200,6.0,7.7,10.5,H-prop,
2026-06-28,Braden Montgomery,CWS,OF,3100,5.3,6.7,7.6,H-prop,
2026-06-28,Luinder Avila,KC,P,5900,11.3,11.3,8.4,P-prop,
2026-06-28,Michael Massey,KC,2B,3500,6.6,8.1,12.2,H-prop,
2026-06-28,Otto Lopez,MIA,SS,4300,5.3,6.0,2.5,H-prop,
2026-06-28,Graham Pauley,MIA,3B,2100,4.0,4.5,12.6,H-prop,
2026-06-28,Ivan Herrera,STL,C,4200,4.8,6.0,0.7,H-prop,
2026-06-28,Jimmy Crooks,STL,C,2100,3.2,4.0,4.0,H-prop,
2026-06-28,Jakob Marsee,MIA,OF,3700,4.7,5.2,0.9,H-prop,
2026-06-28,Kyle Stowers,MIA,1B/OF,4000,5.4,6.8,2.2,H-prop,
2026-06-28,Blaze Jordan,STL,3B,3100,4.0,4.9,3.2,H-prop,
2026-06-28,Heriberto Hernandez,MIA,OF,3500,4.1,6.0,1.5,H-prop,
2026-06-28,JJ Wetherholt,STL,2B,4500,5.7,7.2,1.9,H-prop,
2026-06-28,Jordan Walker,STL,OF,5200,5.4,7.7,0.4,H-prop,
2026-06-28,Kyle Leahy,STL,P,7500,12.7,12.7,5.5,P-prop,
2026-06-28,Owen Caissie,MIA,OF,2800,4.2,5.9,3.5,H-prop,
2026-06-28,Xavier Edwards,MIA,2B,4100,5.7,6.4,2.6,H-prop,
2026-06-28,Tyler Phillips,MIA,P,6700,10.5,10.5,4.2,P-prop,
2026-06-28,Joe Mack,MIA,C,2800,5.0,6.3,7.0,H-prop,
2026-06-28,Alec Burleson,STL,1B,4400,6.6,8.2,3.2,H-prop,
2026-06-28,Nathan Church,STL,OF,2700,5.3,6.3,8.9,H-prop,
2026-06-28,Masyn Winn,STL,SS,3600,4.5,4.9,2.6,H-prop,
2026-06-28,Griffin Conine,MIA,OF,3100,6.7,8.6,12.5,H-prop,
2026-06-28,Lars Nootbaar,STL,OF,3700,5.5,6.6,1.5,H-prop,
2026-06-29,Trey Yesavage,TOR,P,8700,17.7,17.7,,P-prop,
2026-06-29,Casey Mize,DET,P,8000,15.3,15.3,,P-prop,
2026-06-29,Ranger Suarez,BOS,P,8500,18.5,18.5,,P-prop,
2026-06-29,Robert Gasser,MIL,P,6500,15.9,15.9,,P-prop,
2026-06-29,Nick Lodolo,CIN,P,5800,13.6,13.6,,P-prop,
2026-06-29,Griffin Canning,SD,P,5800,9.2,9.2,,P-prop,
2026-06-29,Shota Imanaga,CHC,P,7700,14.7,14.7,,P-prop,
2026-06-29,Zebby Matthews,MIN,P,6700,14.2,14.2,,P-prop,
2026-06-29,Peter Lambert,HOU,P,8400,14.9,14.9,,P-prop,
2026-06-29,Sandy Alcantara,MIA,P,9000,12.6,12.6,,P-prop,
2026-06-29,Sean Sullivan,COL,P,5000,7.3,7.3,,P-prop,
2026-06-29,Tyler Mahle,SF,P,7200,10.8,10.8,,P-prop,
2026-06-29,Eduardo Rodriguez,ARI,P,8300,14.4,14.4,,P-prop,
2026-06-29,Eric Lauer,LAD,P,5500,9.0,9.0,,P-prop,
2026-06-29,Gage Jump,ATH,P,8000,13.4,13.4,,P-prop,
2026-06-29,George Kirby,SEA,P,9000,22.1,22.1,,P-prop,
2026-06-29,Ryan Johnson,LAA,P,5500,10.5,10.5,,P-prop,
2026-06-29,Matthew Liberatore,STL,P,5500,11.8,11.8,,P-prop,
2026-06-29,Ben Rice,NYY,1B,5500,8.9,12.0,,H-slot1,
2026-06-29,Cody Bellinger,NYY,OF,5100,9.2,10.6,,H-slot2,
2026-06-29,Paul Goldschmidt,NYY,1B,4100,7.7,10.5,,H-slot3,
2026-06-29,Jazz Chisholm Jr.,NYY,2B,4400,9.7,11.3,,H-slot4,
2026-06-29,Jasson Domínguez,NYY,OF,3400,8.4,9.8,,H-slot5,
2026-06-29,Anthony Volpe,NYY,SS,3900,7.4,7.7,,H-slot6,
2026-06-29,Spencer Jones,NYY,OF,2600,7.3,8.4,,H-slot7,
2026-06-29,Austin Wells,NYY,C,2500,7.1,7.9,,H-slot8,
2026-06-29,José Caballero,NYY,3B/OF,3300,8.1,9.3,,H-slot9,
2026-06-29,Matt Vierling,DET,OF,2900,8.1,9.1,,H-slot1,
2026-06-29,Dillon Dingler,DET,C,5200,7.6,10.3,,H-slot2,
2026-06-29,Kevin McGonigle,DET,3B/SS,4600,7.9,8.6,,H-slot3,
2026-06-29,Spencer Torkelson,DET,1B,3300,7.7,9.5,,H-slot4,
2026-06-29,Hao-Yu Lee,DET,2B,2500,7.6,8.6,,H-slot5,
2026-06-29,Jahmai Jones,DET,OF,2100,8.9,9.7,,H-slot6,
2026-06-29,Zach McKinstry,DET,2B/SS,2300,7.5,8.1,,H-slot7,
2026-06-29,Ben Malgeri,DET,OF,2000,7.0,7.0,,H-slot8,
2026-06-29,James Outman,DET,OF,2400,5.2,6.0,,H-slot9,
2026-06-29,George Springer,TOR,OF,3500,8.6,10.0,,H-slot1,
2026-06-29,Nathan Lukes,TOR,OF,2600,7.4,8.5,,H-slot2,
2026-06-29,Vladimir Guerrero Jr.,TOR,1B,4500,8.3,8.8,,H-slot3,
2026-06-29,Kazuma Okamoto,TOR,3B,3400,6.9,9.4,,H-slot4,
2026-06-29,Ernie Clement,TOR,2B/SS,2800,6.5,7.4,,H-slot5,
2026-06-29,Brandon Valenzuela,TOR,C,3500,6.6,8.3,,H-slot6,
2026-06-29,Luis Urías,TOR,2B,2100,5.4,9.1,,H-slot7,
2026-06-29,Yohendrick Piñango,TOR,OF,2500,6.3,7.7,,H-slot8,
2026-06-29,Myles Straw,TOR,OF,2300,6.5,7.0,,H-slot9,
2026-06-29,Carson Benge,NYM,OF,4000,8.1,9.4,,H-slot1,
2026-06-29,Juan Soto,NYM,OF,5500,10.9,13.7,,H-slot2,
2026-06-29,Bo Bichette,NYM,3B/SS,4400,7.9,9.1,,H-slot3,
2026-06-29,Francisco Lindor,NYM,SS,4300,9.4,10.1,,H-slot4,
2026-06-29,Jared Young,NYM,1B,2800,7.4,9.6,,H-slot5,
2026-06-29,A.J. Ewing,NYM,OF,3500,7.3,8.3,,H-slot6,
2026-06-29,Mark Vientos,NYM,1B,3000,7.4,9.1,,H-slot7,
2026-06-29,Brett Baty,NYM,2B/3B,2400,6.8,7.2,,H-slot8,
2026-06-29,Francisco Alvarez,NYM,C,3000,6.7,8.3,,H-slot9,
2026-06-29,Masataka Yoshida,BOS,OF,2900,8.9,9.4,,H-slot1,
2026-06-29,Ceddanne Rafaela,BOS,OF,4100,9.3,10.3,,H-slot2,
2026-06-29,Wilyer Abreu,BOS,OF,4400,9.8,11.1,,H-slot3,
2026-06-29,Willson Contreras,BOS,1B,5100,9.3,11.5,,H-slot4,
2026-06-29,Jarren Duran,BOS,OF,4600,9.8,11.3,,H-slot5,
2026-06-29,Caleb Durbin,BOS,3B,2700,8.4,9.3,,H-slot6,
2026-06-29,Anthony Seigler,BOS,2B,2400,7.9,9.0,,H-slot7,
2026-06-29,Carlos Narváez,BOS,C,2000,7.3,7.8,,H-slot8,
2026-06-29,Tsung-Che Cheng,BOS,SS,2200,7.6,7.6,,H-slot9,
2026-06-29,James Wood,WSH,OF,5700,9.6,12.1,,H-slot1,
2026-06-29,Andrés Chaparro,WSH,1B,2300,6.6,6.6,,H-slot2,
2026-06-29,Curtis Mead,WSH,3B,4500,6.2,8.7,,H-slot3,
2026-06-29,CJ Abrams,WSH,SS,5400,8.8,10.9,,H-slot4,
2026-06-29,Dylan Crews,WSH,OF,3600,7.8,9.3,,H-slot5,
2026-06-29,Jacob Young,WSH,OF,3200,7.0,8.2,,H-slot6,
2026-06-29,Luis García Jr.,WSH,1B,3900,7.8,10.2,,H-slot7,
2026-06-29,Nasim Nuñez,WSH,2B/SS,3600,8.3,8.3,,H-slot8,
2026-06-29,Keibert Ruiz,WSH,C,3700,5.6,6.9,,H-slot9,
2026-06-29,Jackson Chourio,MIL,OF,5500,8.7,11.0,,H-slot1,
2026-06-29,Brice Turang,MIL,2B,5400,8.1,9.5,,H-slot2,
2026-06-29,William Contreras,MIL,C,4600,7.7,8.9,,H-slot3,
2026-06-29,Andrew Vaughn,MIL,1B,3800,6.4,7.0,,H-slot4,
2026-06-29,Gary Sánchez,MIL,C,4000,6.7,8.9,,H-slot5,
2026-06-29,Blake Perkins,MIL,OF,2700,6.7,7.1,,H-slot6,
2026-06-29,Sal Frelick,MIL,OF,3100,6.4,6.9,,H-slot7,
2026-06-29,Cooper Pratt,MIL,SS,3300,6.3,6.3,,H-slot8,
2026-06-29,Joey Ortiz,MIL,3B/SS,2400,5.8,6.0,,H-slot9,
2026-06-29,Elly De La Cruz,CIN,SS,5200,9.6,11.6,,H-slot1,
2026-06-29,Sal Stewart,CIN,1B/3B,4700,7.3,9.2,,H-slot2,
2026-06-29,Spencer Steer,CIN,1B/OF,4200,7.6,9.5,,H-slot3,
2026-06-29,JJ Bleday,CIN,OF,4500,6.9,9.3,,H-slot4,
