date,player,team,pos,salary,proj,ceiling,own,conf,dk_fppg,games
2026-07-18,Matthew Boyd,CHC,P,7900,16.3,16.3,65.0,P-prop,14.9,3
2026-07-18,Taj Bradley,MIN,P,8900,17.0,17.0,61.4,P-prop,19.2,3
2026-07-18,Davis Martin,CWS,P,8400,11.3,11.3,5.3,P-prop,16.1,3
2026-07-18,Shane Bieber,TOR,P,7600,12.5,12.5,21.5,P-prop,3.5,3
2026-07-18,Rhett Lowder,CIN,P,6700,9.3,9.3,6.6,P-prop,9.0,3
2026-07-18,Pete Crow-Armstrong,CHC,OF,6600,8.4,10.6,5.5,H-slot1,10.1,3
2026-07-18,Seiya Suzuki,CHC,OF,4900,7.5,9.4,6.6,H-slot2,8.2,3
2026-07-18,Michael Busch,CHC,1B,3900,7.0,8.1,7.2,H-slot3,7.4,3
2026-07-18,Alex Bregman,CHC,3B,4000,6.5,7.4,8.2,H-slot4,6.9,3
2026-07-18,Ian Happ,CHC,OF,4500,6.6,8.3,4.6,H-slot5,7.8,3
2026-07-18,Nico Hoerner,CHC,2B,3500,6.1,6.5,10.7,H-slot6,6.8,3
2026-07-18,Pedro Ramírez,CHC,2B/3B,3000,5.7,6.3,10.9,H-slot7,4.2,3
2026-07-18,Dansby Swanson,CHC,SS,4100,6.0,7.6,6.4,H-slot8,7.7,3
2026-07-18,Miguel Amaya,CHC,C,2800,4.9,5.5,8.4,H-slot9,4.8,3
2026-07-18,Austin Martin,MIN,OF,3000,6.8,7.1,17.0,H-slot1,5.3,3
2026-07-18,Ryan Jeffers,MIN,C,5400,7.0,9.0,7.5,H-slot2,9.1,3
2026-07-18,Josh Bell,MIN,1B,3200,6.5,8.0,11.3,H-slot3,7.2,3
2026-07-18,Victor Caratini,MIN,C,3800,6.1,7.2,8.5,H-slot4,5.9,3
2026-07-18,Brooks Lee,MIN,3B,3800,5.9,7.5,6.4,H-slot5,7.2,3
2026-07-18,Kody Clemens,MIN,2B,5300,6.5,8.4,4.2,H-slot6,7.6,3
2026-07-18,Ryan Kreidler,MIN,OF/SS,2500,5.5,6.9,17.1,H-slot7,5.1,3
2026-07-18,Luke Keaschall,MIN,OF,3200,6.0,6.4,6.1,H-slot8,6.6,3
2026-07-18,Trevor Larnach,MIN,OF,4000,5.5,6.3,2.5,H-slot9,6.8,3
2026-07-18,Ernie Clement,TOR,2B/SS,3200,7.5,8.4,31.3,H-slot1,6.6,3
2026-07-18,Nathan Lukes,TOR,OF,2900,7.4,8.4,22.4,H-slot2,5.5,3
2026-07-18,Vladimir Guerrero Jr.,TOR,1B,4500,8.3,9.0,8.5,H-slot3,7.0,3
2026-07-18,George Springer,TOR,OF,3400,8.1,9.4,16.5,H-slot4,7.1,3
2026-07-18,Kazuma Okamoto,TOR,3B,3900,7.6,9.9,10.9,H-slot5,7.8,3
2026-07-18,Daulton Varsho,TOR,OF,3000,7.2,8.1,13.5,H-slot6,6.1,3
2026-07-18,Alejandro Kirk,TOR,C,2700,6.0,6.7,17.0,H-slot7,5.0,3
2026-07-18,Andrés Giménez,TOR,SS,2800,5.9,6.7,17.4,H-slot8,5.5,3
2026-07-18,Jonatan Clase,TOR,OF,2400,5.6,9.1,9.2,H-slot9,8.0,3
2026-07-18,Sam Antonacci,CWS,OF,4100,9.5,10.6,18.2,H-slot1,8.1,3
2026-07-18,Munetaka Murakami,CWS,1B,5200,10.0,13.4,11.9,H-slot2,9.5,3
2026-07-18,Miguel Vargas,CWS,1B/3B,5600,8.2,10.5,7.2,H-slot3,9.2,3
2026-07-18,Colson Montgomery,CWS,3B/SS,4700,8.9,11.5,13.8,H-slot4,7.8,3
2026-07-18,Andrew Benintendi,CWS,OF,3300,7.5,8.9,16.5,H-slot5,6.2,3
2026-07-18,Kyle Teel,CWS,C,3900,7.5,8.8,13.0,H-slot6,6.7,3
2026-07-18,Braden Montgomery,CWS,OF,2800,7.1,8.1,15.7,H-slot7,7.0,3
2026-07-18,Tristan Peters,CWS,OF,2700,7.1,7.9,14.8,H-slot8,5.9,3
2026-07-18,Chase Meidroth,CWS,2B,3700,5.7,6.3,6.1,H-slot9,6.7,3
2026-07-18,Jake McCarthy,COL,OF,4600,11.2,12.6,24.7,H-slot1*PROJ,8.3,3
2026-07-18,Mickey Moniak,COL,OF,5700,10.8,13.6,15.4,H-slot2*PROJ,7.8,3
2026-07-18,Hunter Goodman,COL,C,6200,10.9,13.9,19.6,H-slot3*PROJ,8.7,3
2026-07-18,TJ Rumfield,COL,1B,4000,9.9,11.2,17.9,H-slot4*PROJ,7.5,3
2026-07-18,Kyle Karros,COL,3B,3400,8.7,9.8,34.4,H-slot5*PROJ,6.4,3
2026-07-18,Willi Castro,COL,2B/SS,4400,8.6,9.4,15.4,H-slot6*PROJ,6.8,3
2026-07-18,Troy Johnston,COL,OF,4300,8.5,8.9,9.7,H-slot7*PROJ,6.3,3
2026-07-18,Tyler Freeman,COL,OF,3900,7.6,8.0,8.5,H-slot8*PROJ,5.9,3
2026-07-18,Ezequiel Tovar,COL,SS,3800,7.2,8.0,14.2,H-slot9*PROJ,5.1,3
2026-07-18,Elly De La Cruz,CIN,SS,6500,13.8,15.8,45.0,H-slot1,9.8,3
2026-07-18,Sal Stewart,CIN,1B/3B,5900,12.4,14.5,19.7,H-slot2,8.8,3
2026-07-18,JJ Bleday,CIN,OF,4800,10.6,13.1,20.1,H-slot3,8.5,3
2026-07-18,Spencer Steer,CIN,1B/OF,5100,10.8,12.5,16.2,H-slot4,7.2,3
2026-07-18,Eugenio Suárez,CIN,3B,4500,11.0,12.7,26.3,H-slot5,6.4,3
2026-07-18,Noelvi Marte,CIN,OF,3700,9.4,11.2,18.1,H-slot6,5.3,3
2026-07-18,Dane Myers,CIN,OF,2800,9.4,10.2,34.4,H-slot7,3.9,3
2026-07-18,Jose Trevino,CIN,C,3300,7.3,7.8,25.9,H-slot8,4.2,3
2026-07-18,Edwin Arroyo,CIN,2B,2900,6.5,6.5,21.5,H-slot9,3.7,3
